date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:10	1590/1590	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-1.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-1.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:10	1514/1514	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-2.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-2.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:11	1868/1868	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-3.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/client-logo-3.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:12	2121/2121	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-5-1.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-5-1.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:12	2035/2035	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202020%2012:39:04%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_552591889-e1584255449387-70x70.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_552591889-e1584255449387-70x70.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:13	2266/2266	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202020%2012:39:06%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_350609716-e1584255478462-70x70.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_350609716-e1584255478462-70x70.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:14	2111/2111	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Jun%202020%2012:39:07%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_259177367-70x70.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/shutterstock_259177367-70x70.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:14	927/927	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2004:44:51%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/elementor/css/post-527.css?ver=1600145091	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/elementor/css/post-52704c7.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:15	100030/100030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/bg4.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/bg4.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:15	2769/2769	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202020%2008:37:05%20GMT	http://smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/jQuery.style.switcher.min.js?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/plugins/color-sds-picker/js/jQuery.style.switcher.min162a.js	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:40:15	84336/84336	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/agent.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/agent.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
